Food,Also,Serving,g,Composition
Gulab jamun,gulabjamun,2 pieces,100,"Milk solids/khoya 35 g, refined flour 8 g, sugar 35 g, oil 18 g, milk 4 g, cardamom 1 g, water 20 g"
Rasgulla,rosogolla,2 pieces,100,"Chhena 45 g, semolina 3 g, sugar 30 g, water 40 g, lemon juice 2 g"
Kaju katli,kaju barfi,2 pieces,50,"Cashew 35 g, sugar 12 g, water 3 g"
Besan ladoo,besan laddu,2 pieces,70,"Gram flour 35 g, ghee 15 g, sugar 15 g, cardamom 1 g, nuts 4 g"
Motichoor ladoo,motichoor laddu,1 piece,50,"Gram flour 20 g, sugar 18 g, ghee 3 g, oil 7 g, saffron 1 g, nuts 2 g"
Gajar halwa,carrot halwa,1 bowl,150,"Carrot 110 g, milk 30 g, sugar 12 g, ghee 5 g, khoya 8 g, nuts 4 g, cardamom 1 g"
Moong dal halwa,moong halwa,1 bowl,150,"Moong dal 30 g, ghee 20 g, sugar 18 g, milk 20 g, nuts 5 g, cardamom 1 g, water 45 g"
Sooji halwa,suji halwa,1 bowl,150,"Semolina 35 g, ghee 15 g, sugar 18 g, milk 15 g, cashew 4 g, cardamom 1 g, water 60 g"
Kheer,rice kheer,1 bowl,180,"Rice 25 g, full-fat milk 140 g, sugar 14 g, cardamom 1 g, cashew 4 g, raisin 3 g"
Phirni,firni,1 bowl,160,"Ground rice 25 g, milk 125 g, sugar 12 g, pistachio 4 g, cardamom 1 g"
Shrikhand,matho,1 bowl,150,"Hung yogurt 120 g, sugar 20 g, saffron 1 g, cardamom 1 g, pistachio 5 g"
Mysore pak,mysore pak,2 pieces,70,"Gram flour 25 g, ghee 22 g, sugar 20 g, water 8 g"
Peda,milk peda,2 pieces,70,"Khoya 45 g, sugar 18 g, cardamom 1 g, pistachio 3 g"
Kulfi,malai kulfi,1 piece,90,"Full-fat milk 75 g, sugar 10 g, cream 5 g, pistachio 4 g, cardamom 1 g"
Masala chai,masala tea,1 cup,180,"Milk 90 g, water 85 g, sugar 8 g, tea leaves 3 g, ginger 2 g, cardamom 1 g"
Ginger tea,adrak chai,1 cup,180,"Milk 90 g, water 85 g, sugar 8 g, tea leaves 3 g, ginger 4 g"
Filter coffee,South Indian filter coffee,1 cup,150,"Milk 110 g, water 25 g, coffee decoction 12 g, sugar 8 g"
Cold coffee,iced coffee,1 glass,250,"Milk 180 g, coffee 3 g, sugar 15 g, ice 50 g"
Sweet lassi,meethi lassi,1 glass,250,"Yogurt 180 g, sugar 20 g, milk 45 g, cardamom 1 g, water 25 g"
Salted lassi,namkeen lassi,1 glass,250,"Yogurt 180 g, water 55 g, salt 2 g, roasted cumin 1 g, mint 2 g"
Chaas,buttermilk,1 glass,250,"Yogurt 70 g, water 170 g, cumin 1 g, coriander 2 g, ginger 1 g, salt 2 g"
Aam panna,kairi panna,1 glass,250,"Raw mango 45 g, jaggery 18 g, cumin 2 g, mint 3 g, water 180 g, salt 2 g"
Jaljeera,jaljira,1 glass,250,"Mint 4 g, coriander 3 g, roasted cumin 2 g, tamarind 8 g, black salt 2 g, jaggery 5 g, water 225 g"
Mango lassi,aam lassi,1 glass,250,"Mango pulp 90 g, yogurt 130 g, milk 20 g, sugar 8 g, cardamom 1 g"
Plain curd,dahi,1 bowl,150,Yogurt 150 g
Boondi raita,boondi raita,1 bowl,180,"Yogurt 130 g, boondi 25 g, cucumber 10 g, roasted cumin 2 g, coriander 2 g, salt 1 g"
Cucumber raita,kheera raita,1 bowl,180,"Yogurt 130 g, cucumber 40 g, roasted cumin 2 g, coriander 2 g, salt 1 g"
Onion salad,kanda salad,1 plate,80,"Onion 55 g, cucumber 20 g, lemon juice 4 g, coriander 1 g"
Green salad,mixed salad,1 plate,120,"Cucumber 40 g, tomato 35 g, carrot 30 g, onion 12 g, lemon juice 3 g"
Papad,papad,1 piece,15,"Urad dal flour 10 g, rice flour 2 g, oil 1 g, spices 1 g, salt 1 g"
Roasted papad,roasted papad,1 piece,12,"Urad dal flour 9 g, rice flour 2 g, spices 1 g"
Mint chutney,pudina chutney,2 tbsp,30,"Mint 15 g, coriander 8 g, yogurt 4 g, lemon juice 2 g, green chili 1 g, salt 1 g"
Tamarind chutney,imli chutney,2 tbsp,35,"Tamarind pulp 15 g, jaggery 12 g, dates 5 g, spices 2 g, water 10 g, salt 1 g"
Coconut chutney,thengai chutney,2 tbsp,40,"Fresh coconut 25 g, roasted chana dal 5 g, green chili 2 g, yogurt 5 g, mustard 1 g, curry leaves 2 g, water 10 g"
