Food,Also,Serving,g,Composition
Chilli paneer gravy,chili paneer gravy,1 bowl,230,"Paneer 105 g, Corn Flour 23 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Water 70 g, Salt 2 g"
Chilli chicken dry,chili chicken dry,1 plate,180,"Chicken 120 g, Corn Flour 18 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Egg 18 g, Salt 2 g"
Chilli chicken gravy,chili chicken gravy,1 bowl,230,"Chicken 120 g, Corn Flour 23 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Egg 18 g, Water 70 g, Salt 2 g"
Chilli mushroom,chili mushroom,1 plate,180,"Mushroom 115 g, Corn Flour 18 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Chilli potato,chili potato,1 plate,180,"Potato 135 g, Corn Flour 18 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Honey chilli potato,honey chili potato,1 plate,180,"Potato 135 g, Corn Flour 18 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Honey 14 g, Sesame Seeds 4 g, Salt 2 g"
Vegetable spring rolls,veg spring roll,4 pieces,160,"Spring Roll Wrappers 55 g, Cabbage 45 g, Carrot 25 g, Green Beans 18 g, Spring Onion 12 g, Soy Sauce 5 g, Oil Absorbed 12 g, Salt 2 g"
Chicken spring rolls,chicken spring roll,4 pieces,180,"Spring Roll Wrappers 55 g, Chicken Cooked 65 g, Cabbage 30 g, Carrot 18 g, Spring Onion 12 g, Soy Sauce 5 g, Oil Absorbed 12 g, Salt 2 g"
Fried wontons,crispy wontons,6 pieces,150,"Refined Wheat Flour 55 g, Chicken Mince 55 g, Cabbage 22 g, Spring Onion 12 g, Soy Sauce 5 g, Oil Absorbed 12 g, Water 25 g, Salt 2 g"
Vegetable wonton soup,wonton soup,1 bowl,230,"Refined Wheat Flour 35 g, Cabbage 25 g, Carrot 18 g, Mushroom 18 g, Spring Onion 12 g, Vegetable Stock 150 g, Soy Sauce 6 g, Garlic 3 g, Salt 2 g"
Hot and sour vegetable soup,veg hot and sour soup,1 bowl,220,"Cabbage 30 g, Carrot 22 g, Mushroom 25 g, Tofu 25 g, Spring Onion 12 g, Vegetable Stock 145 g, Soy Sauce 7 g, Chili Sauce 8 g, Vinegar 7 g, Corn Flour 7 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Hot and sour chicken soup,chicken hot and sour soup,1 bowl,230,"Chicken Cooked 45 g, Cabbage 22 g, Carrot 18 g, Mushroom 20 g, Egg 18 g, Chicken Stock 140 g, Soy Sauce 7 g, Chili Sauce 8 g, Vinegar 7 g, Corn Flour 7 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Vegetable Manchow soup,veg Manchow soup,1 bowl,230,"Cabbage 28 g, Carrot 20 g, Green Beans 18 g, Mushroom 22 g, Spring Onion 12 g, Vegetable Stock 145 g, Fried Noodles 18 g, Soy Sauce 7 g, Chili Sauce 8 g, Vinegar 5 g, Corn Flour 7 g, Garlic 4 g, Salt 2 g"
Chicken Manchow soup,—,1 bowl,240,"Chicken Cooked 42 g, Cabbage 20 g, Carrot 18 g, Mushroom 18 g, Spring Onion 12 g, Chicken Stock 140 g, Fried Noodles 18 g, Soy Sauce 7 g, Chili Sauce 8 g, Vinegar 5 g, Corn Flour 7 g, Garlic 4 g, Salt 2 g"
Lemon coriander soup,lemon cilantro soup,1 bowl,220,"Carrot 22 g, Cabbage 22 g, Mushroom 20 g, Coriander Leaves 10 g, Lemon Juice 12 g, Vegetable Stock 165 g, Corn Flour 5 g, Ginger 3 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Chicken clear soup,clear chicken soup,1 bowl,220,"Chicken Cooked 50 g, Carrot 20 g, Cabbage 20 g, Spring Onion 10 g, Chicken Stock 160 g, Ginger 3 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Vegetable clear soup,clear veg soup,1 bowl,220,"Carrot 25 g, Cabbage 25 g, Green Beans 20 g, Mushroom 20 g, Spring Onion 10 g, Vegetable Stock 160 g, Ginger 3 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Chicken sweet corn soup,sweet corn chicken soup,1 bowl,230,"Chicken Cooked 45 g, Sweet Corn Cooked 55 g, Egg 20 g, Chicken Stock 145 g, Corn Flour 7 g, Ginger 3 g, Soy Sauce 5 g, Black Pepper 1 g, Salt 2 g"
Kung pao chicken,gong bao chicken,1 bowl,220,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Peanuts 18 g, Dried Red Chili 3 g, Chili Sauce 8 g, Vinegar 5 g, Sugar 4 g, Salt 2 g"
Black pepper chicken,pepper chicken Chinese,1 bowl,210,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Black Pepper 3 g, Oyster Sauce 8 g, Salt 2 g"
Chicken in hot garlic sauce,hot garlic chicken,1 bowl,240,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Chili Sauce 14 g, Tomato Sauce 10 g, Corn Flour 6 g, Water 60 g, Salt 2 g"
Chicken lollipop,drums of heaven,4 pieces,200,"Chicken Wings 175 g, Corn Flour 22 g, Refined Wheat Flour 12 g, Egg 20 g, Chili Sauce 12 g, Soy Sauce 7 g, Ginger 4 g, Garlic 5 g, Oil Absorbed 12 g, Salt 2 g"
Dragon chicken,crispy dragon chicken,1 bowl,220,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Corn Flour 18 g, Cashews 12 g, Chili Sauce 12 g, Tomato Sauce 10 g, Oil Absorbed 10 g, Salt 2 g"
Stir-fried vegetables,Chinese mixed vegetables,1 bowl,190,"Broccoli 45 g, Carrot 30 g, Green Beans 25 g, Bell Pepper 30 g, Mushroom 30 g, Baby Corn 25 g, Oil 8 g, Soy Sauce 7 g, Garlic 4 g, Ginger 3 g, Salt 2 g"
Vegetables in hot garlic sauce,veg hot garlic sauce,1 bowl,230,"Broccoli 45 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Carrot 30 g, Green Beans 25 g, Mushroom 30 g, Baby Corn 25 g, Chili Sauce 14 g, Tomato Sauce 10 g, Corn Flour 6 g, Water 65 g, Salt 2 g"
Paneer in hot garlic sauce,hot garlic paneer,1 bowl,240,"Paneer 105 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Chili Sauce 14 g, Tomato Sauce 10 g, Corn Flour 6 g, Water 65 g, Salt 2 g"
American chop suey,American chopsuey,1 plate,300,"Wheat Noodles 90 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Pineapple 20 g, Tomato Sauce 35 g, Chili Sauce 8 g, Vinegar 6 g, Corn Flour 8 g, Oil Absorbed 12 g, Water 80 g, Salt 2 g"
Chinese bhel,crispy noodle bhel,1 plate,180,"Fried Noodles 75 g, Cabbage 30 g, Carrot 20 g, Bell Pepper 20 g, Spring Onion 12 g, Schezwan Sauce 15 g, Tomato Sauce 12 g, Vinegar 4 g, Oil 5 g, Salt 2 g"
Crispy corn,crispy fried corn,1 plate,160,"Sweet Corn Cooked 105 g, Corn Flour 22 g, Rice Flour 12 g, Oil Absorbed 12 g, Spring Onion 10 g, Garlic 4 g, Chili Powder 2 g, Salt 2 g"
Honey chilli cauliflower,honey chili cauliflower,1 plate,190,"Cauliflower 120 g, Corn Flour 22 g, Refined Wheat Flour 12 g, Oil Absorbed 11 g, Honey 14 g, Chili Sauce 12 g, Soy Sauce 7 g, Garlic 4 g, Sesame Seeds 4 g, Salt 2 g"
Sesame chicken,Chinese sesame chicken,1 bowl,220,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Corn Flour 18 g, Sesame Seeds 8 g, Honey 12 g, Chili Sauce 8 g, Vinegar 4 g, Oil Absorbed 10 g, Salt 2 g"
Sweet and sour chicken,sweet sour chicken,1 bowl,230,"Chicken 125 g, Onion 25 g, Bell Pepper 28 g, Spring Onion 12 g, Oil 9 g, Soy Sauce 8 g, Garlic 5 g, Ginger 4 g, Pineapple 30 g, Tomato Sauce 20 g, Vinegar 8 g, Sugar 8 g, Corn Flour 10 g, Salt 2 g"
Sweet and sour vegetables,sweet sour vegetables,1 bowl,220,"Cauliflower 45 g, Carrot 30 g, Bell Pepper 30 g, Baby Corn 25 g, Pineapple 30 g, Onion 25 g, Tomato Sauce 20 g, Vinegar 8 g, Sugar 8 g, Corn Flour 10 g, Oil 8 g, Water 55 g, Salt 2 g"
Crispy chilli baby corn,crispy chili baby corn,1 plate,180,"Baby Corn 120 g, Corn Flour 22 g, Refined Wheat Flour 12 g, Oil Absorbed 11 g, Onion 20 g, Bell Pepper 22 g, Chili Sauce 12 g, Soy Sauce 7 g, Garlic 4 g, Salt 2 g"
Salt and pepper vegetables,salt pepper vegetables,1 plate,180,"Cauliflower 45 g, Broccoli 35 g, Baby Corn 30 g, Bell Pepper 25 g, Mushroom 30 g, Corn Flour 18 g, Oil Absorbed 10 g, Spring Onion 10 g, Black Pepper 3 g, Garlic 4 g, Salt 2 g"
